"Service","2025-11-01 ($)","2026-02-01 ($)","Cost difference ($)","Cost difference (%)"
"Total","2293.92","1557.41","-736.51","-32.11"
"EC2-Instances","431.24","232.38","-198.86","-46.11"
"Elastic File System","117.86","0.36","-117.50","-99.69"
"EC2 - Other","251.84","145.59","-106.25","-42.19"
"Tax","271.30","189.20","-82.10","-30.26"
"Apache Kafka® & Apache Flink® on Confluent Cloud™ - Pay As You Go","59.53","0.00","-59.53","-100.00"
"CloudWatch","64.03","20.25","-43.78","-68.37"
"API Gateway","0.20","43.85","43.65","21825.00"
"Elastic Container Service","182.11","144.46","-37.65","-20.67"
"Relational Database Service","193.85","160.92","-32.93","-16.99"
"GuardDuty","48.20","23.46","-24.74","-51.33"
"VPC","223.22","199.05","-24.17","-10.83"
"Elastic Load Balancing","212.93","194.49","-18.44","-8.66"
"EC2 Container Registry (ECR)","19.69","7.74","-11.95","-60.69"
"S3","15.06","4.19","-10.87","-72.18"
"Elastic Container Service for Kubernetes","10.48","0.00","-10.48","-100.00"
"WAF","89.07","81.28","-7.79","-8.75"
"Systems Manager","0.00","7.03","7.03",""
"Lambda","4.14","9.97","5.83","140.82"
"ElastiCache","51.41","47.12","-4.29","-8.34"
"X-Ray","0.00","3.16","3.16",""
"Timestream","3.00","0.00","-3.00","-100.00"
"MQ","21.51","19.84","-1.67","-7.76"
"Cognito","2.02","1.75","-0.27","-13.37"
"Route 53","6.60","6.74","0.14","2.12"
"Key Management Service","5.00","4.90","-0.10","-2.00"
"SQS","0.62","0.56","-0.06","-9.68"
"CloudFront","0.01","0.03","0.02","200.00"
"Secrets Manager","9.03","9.05","0.02","0.22"
"DynamoDB","0.00","0.00","0.00",""
"Location Service","0.00","0.00","0.00",""
"SNS","0.00","0.00","0.00",""
"Rekognition","0.00","0.00","0.00",""
"SES","0.00","0.00","0.00",""
"Certificate Manager","0.00","0.00","0.00",""
"Step Functions","0.00","0.00","0.00",""
"CloudFormation","0.00","0.00","0.00",""
"Glue","0.00","0.00","0.00",""
"Service Catalog","0.00","0.00","0.00",""
"Glacier","0.00","0.00","0.00",""
"CloudWatch Events","0.00","0.00","0.00",""